,Date,Low,High,Close,Open
2993,2005-03-23,9.05,9.25,9.19,9.1
2992,2006-05-18,27.69,28.71,27.71,28.04
2991,2008-08-14,30.6101,32.16,31.84,30.9
2990,2014-10-15,430.18,450.98,448.59,444.47
2989,2005-02-15,11.09,11.5,11.25,11.25
2988,2007-07-26,16.25,17.93,17.84,16.69
2987,2003-07-25,26.09,27.1,27.02,26.09
2986,2009-09-16,45.2503,47.0,46.8,45.29
2985,2017-12-27,185.22,188.1,186.24,187.8
2984,2017-12-07,183.22,187.34,185.2,185.71
2983,2011-01-07,176.38,180.55,179.3,178.67
2982,2003-08-06,22.87,24.5,23.36,24.4
2981,2007-10-18,23.66,24.3,24.03,23.91
2980,2015-03-19,421.79,428.4839,425.21,423.22
2979,2010-04-20,84.86,87.42,87.07,85.08
2978,2010-10-14,151.54,156.76,152.78,153.91
2977,2003-10-01,33.4,35.49,34.51,33.6
2976,2012-03-21,115.62,120.89,120.1,116.0
2975,2017-10-24,191.4,196.74,196.02,192.75
2974,2006-11-08,27.35,28.97,28.88,27.55
2973,2012-10-22,64.2912,69.7292,67.88,64.36
2972,2015-05-12,580.95,586.66,583.64,586.66
2971,2018-07-13,395.081,410.0,395.8,409.19
2970,2017-11-28,194.01,199.68,199.18,195.34
2969,2008-11-04,23.0,24.34,24.03,23.7
2968,2007-02-15,22.41,22.7,22.5,22.48
2967,2014-01-30,401.51,409.19,404.67,407.1
2966,2006-03-14,24.88,25.61,25.42,25.05
2965,2004-09-29,15.74,16.7,16.38,16.09
2964,2011-09-27,126.42,134.99,127.49,134.38
2963,2006-08-04,20.55,21.75,20.96,20.58
2962,2017-11-17,192.65,195.95,193.2,195.74
2961,2010-07-16,117.75,120.9799,118.39,120.7
2960,2011-08-18,214.98,226.0,217.48,223.4
2959,2016-10-07,103.5501,106.5,104.82,103.98
2958,2010-04-07,79.2,82.37,79.73,82.085
2957,2015-10-14,108.05,111.63,110.23,111.5
2956,2008-08-13,30.27,31.16,31.16,30.68
2955,2006-11-28,28.52,29.0,28.84,28.73
2954,2004-11-16,10.33,10.87,10.82,10.65
2953,2010-04-29,99.36,103.95,103.17,100.81
2952,2017-01-18,131.06,133.65,133.26,133.21
2951,2010-09-30,161.88,174.4,162.16,171.8471
2950,2016-04-06,104.25,106.44,104.83,105.3
2949,2007-08-10,16.73,17.96,17.89,17.9
2948,2018-06-01,352.82,359.99,359.93,353.88
2947,2011-04-19,231.86,242.29,241.55,233.77
2946,2015-06-15,641.61,655.14,654.02,650.0
2945,2006-02-03,25.35,26.27,26.11,26.0
2944,2015-10-16,98.41,101.65,98.99,100.21
2943,2011-08-11,233.61,245.7,243.13,235.11
2942,2008-02-04,25.29,26.1605,25.89,25.39
2941,2012-09-11,55.1,57.37,57.16,55.9
2940,2013-03-15,184.55,189.9899,184.85,189.25
2939,2012-10-09,65.4,69.48,65.5281,68.9038
2938,2007-07-10,20.0,20.84,20.12,20.41
2937,2003-07-10,26.7,27.94,26.91,27.37
2936,2010-11-11,173.55,178.69,175.14,174.92
2935,2009-04-23,43.51,45.98,45.32,45.78
2934,2010-11-16,163.57,169.23,165.4,166.76
2933,2006-05-02,29.51,30.38,30.2,29.6
2932,2007-08-06,16.5,17.22,16.96,17.22
2931,2012-01-13,90.2,96.55,94.38,91.47
2930,2014-12-31,341.51,345.74,341.61,343.23
2929,2017-09-15,181.43,184.93,182.35,182.73
2928,2009-09-15,43.2,45.0,44.97,43.96
2927,2016-06-28,86.41,88.88,87.97,87.41
2926,2004-02-05,69.29,73.57,73.16,69.45
2925,2009-02-25,35.38,37.15,35.79,36.59
2924,2004-10-08,16.75,17.72,16.76,17.3
2923,2013-08-26,274.04,289.9444,282.72,276.11
2922,2016-09-07,98.42,100.19,99.15,100.11
2921,2016-08-29,96.57,98.4497,97.3,96.97
2920,2009-11-24,58.1,60.38,59.67,58.42
2919,2014-10-31,384.0,393.77,392.77,384.4
2918,2016-05-04,90.35,92.16,90.79,91.0
2917,2005-09-28,24.07,24.61,24.24,24.54
2916,2005-03-01,10.61,10.95,10.79,10.7
2915,2015-03-12,443.38,452.08,448.32,443.43
2914,2002-06-13,15.12,15.71,15.16,15.46
2913,2009-04-22,45.33,47.82,45.88,46.08
2912,2003-06-25,22.55,24.14,23.12,23.5
2911,2010-08-03,98.73,104.734,104.41,101.06
2910,2014-04-25,322.0,341.4099,322.08,337.46
2909,2008-10-24,18.86,20.24,18.95,20.01
2908,2004-05-10,26.08,27.41,26.99,26.45
2907,2009-06-26,40.3534,42.68,40.37,41.32
2906,2007-12-13,22.51,23.04,23.04,22.89
2905,2017-03-16,144.22,146.5,144.39,145.5
2904,2003-03-07,15.75,16.6,16.09,15.98
2903,2007-03-06,20.91,21.91,21.44,21.25
2902,2010-03-02,68.82,70.0,68.98,69.99
2901,2014-10-23,378.2501,385.77,383.04,380.52
2900,2016-07-26,90.9,93.1,91.41,91.03
2899,2005-10-05,25.87,26.75,25.99,26.72
2898,2007-02-28,22.09,22.91,22.53,22.11
2897,2008-03-18,33.48,35.0,35.0,33.76
2896,2008-11-19,20.52,22.09,20.55,21.49
2895,2014-03-31,349.88,366.86,352.03,361.51
2894,2014-04-11,323.61,334.82,326.71,330.8
2893,2013-07-16,256.7,266.37,260.48,257.29
2892,2003-09-04,32.8,33.8,33.49,33.2
2891,2008-02-21,27.33,27.99,27.87,27.5
2890,2003-02-13,13.22,25.05,13.22,13.31
2889,2008-10-02,28.31,30.0,29.3,29.8
2888,2011-03-22,218.0,222.7,221.39,220.77
2887,2009-08-21,44.95,45.6,45.1,45.41
2886,2017-02-21,141.81,143.38,142.6,142.99
2885,2009-05-04,44.15,45.825,44.94,44.52
2884,2002-11-26,10.48,11.0,10.49,10.8
2883,2009-10-30,53.34,55.989,53.45,55.01
2882,2010-12-10,192.5,197.97,194.63,197.38
2881,2004-09-30,14.93,16.24,15.42,16.24
2880,2005-12-20,24.97,25.77,25.11,25.6
2879,2017-03-08,139.77,142.06,140.32,141.47
2878,2011-04-25,248.0,254.98,251.67,254.71
2877,2010-10-04,151.57,158.79,156.39,153.02
2876,2013-12-10,353.32,364.44,363.1,355.05
2875,2005-09-22,22.5,23.75,23.62,22.6
2874,2014-04-29,312.03,324.63,319.87,312.24
2873,2008-06-05,31.86,34.0,33.17,32.26
2872,2010-02-03,61.33,62.88,61.95,61.85
2871,2018-02-13,254.7,261.41,258.27,257.29
2870,2015-09-17,101.83,107.5,104.21,103.67
2869,2009-06-11,37.44,38.85,37.74,37.8
2868,2016-01-15,101.72,105.5,104.04,102.43
2867,2010-06-03,109.91,114.6699,111.85,111.94
2866,2007-02-27,22.1,22.85,22.1,22.771
2865,2018-07-11,410.6,419.77,418.65,411.34
2864,2014-06-10,425.02,436.04,428.29,425.52
2863,2012-03-29,113.0,118.59,115.05,117.93
2862,2015-04-28,559.61,568.95,563.06,564.13
2861,2018-06-20,409.6,419.4675,416.76,415.15
2860,2011-12-27,70.2,72.49,70.596,72.3
2859,2004-10-05,17.9,19.6,18.05,19.29
2858,2009-10-07,45.86,46.62,46.25,46.02
2857,2002-11-19,8.73,10.09,9.3,10.08
2856,2012-09-27,54.16,56.1,55.55,55.86
2855,2017-04-19,138.66,144.0,139.76,143.37
2854,2003-07-14,26.49,28.55,28.14,26.64
2853,2010-05-20,92.99,97.9699,94.99,96.75
2852,2007-02-23,23.5,23.85,23.53,23.76
2851,2010-01-27,48.95,51.18,50.97,50.0
2850,2014-08-19,462.43,470.4999,468.15,467.09
2849,2008-09-29,31.1,32.91,31.6,32.32
2848,2014-01-27,370.56,391.5,381.23,387.39
2847,2009-07-23,45.55,47.69,46.46,45.83
2846,2018-02-14,260.33,269.88,266.0,260.47
2845,2011-09-30,107.63,115.75,113.27,109.22
2844,2009-10-28,53.02,55.34,53.54,54.79
2843,2003-09-18,35.6,36.82,36.54,36.2
2842,2018-05-21,325.45,331.88,331.82,327.11
2841,2017-07-31,180.65,184.97,181.66,184.26
2840,2011-03-14,198.82,207.0,201.2,203.23
2839,2003-05-28,21.75,23.45,22.6,22.81
2838,2005-06-23,15.99,16.69,16.05,16.47
2837,2012-12-12,85.94,93.15,90.7295,86.27
